nohup: ignoring input
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1789848598.691786  706959 cpu_feature_guard.cc:227] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
Datasets: dataset
Models: velocity_threshold, extension_threshold, random_forest, lstm, gru

=== dataset: 69,277 frames ===
[ 74%] dataset 100/135 · fold13_P014 lstm w30 · 34m51s elapsed, ~12m11s left
[ 75%] dataset 101/135 · fold13_P014 gru w30 · 35m23s elapsed, ~11m54s left
[ 76%] dataset 102/135 · fold14_P015 lstm w30 · 35m55s elapsed, ~11m37s left
[ 76%] dataset 103/135 · fold14_P015 gru w30 · 36m26s elapsed, ~11m19s left
[ 77%] dataset 104/135 · fold15_P016 lstm w30 · 37m19s elapsed, ~11m07s left
[ 78%] dataset 105/135 · fold15_P016 gru w30 · 37m51s elapsed, ~10m49s left
[ 79%] dataset 106/135 · fold01_P001 lstm w60 · 38m20s elapsed, ~10m29s left
[ 79%] dataset 107/135 · fold01_P001 gru w60 · 38m48s elapsed, ~10m09s left
[ 80%] dataset 108/135 · fold02_P002 lstm w60 · 39m09s elapsed, ~9m47s left
[ 81%] dataset 109/135 · fold02_P002 gru w60 · 39m32s elapsed, ~9m25s left
[ 81%] dataset 110/135 · fold03_P003 lstm w60 · 39m55s elapsed, ~9m04s left
[ 82%] dataset 111/135 · fold03_P003 gru w60 · 40m17s elapsed, ~8m42s left
[ 83%] dataset 112/135 · fold04_P004 lstm w60 · 40m39s elapsed, ~8m21s left
[ 84%] dataset 113/135 · fold04_P004 gru w60 · 41m02s elapsed, ~7m59s left
[ 84%] dataset 114/135 · fold05_P005 lstm w60 · 41m24s elapsed, ~7m37s left
[ 85%] dataset 115/135 · fold05_P005 gru w60 · 41m46s elapsed, ~7m15s left
[ 86%] dataset 116/135 · fold06_P006 lstm w60 · 42m09s elapsed, ~6m54s left
[ 87%] dataset 117/135 · fold06_P006 gru w60 · 42m29s elapsed, ~6m32s left
[ 87%] dataset 118/135 · fold07_P007 lstm w60 · 42m52s elapsed, ~6m10s left
[ 88%] dataset 119/135 · fold07_P007 gru w60 · 43m14s elapsed, ~5m48s left
[ 89%] dataset 120/135 · fold08_P008 lstm w60 · 43m36s elapsed, ~5m27s left
[ 90%] dataset 121/135 · fold08_P008 gru w60 · 44m01s elapsed, ~5m05s left
[ 90%] dataset 122/135 · fold09_P009 lstm w60 · 44m22s elapsed, ~4m43s left
[ 91%] dataset 123/135 · fold09_P009 gru w60 · 44m43s elapsed, ~4m21s left
[ 92%] dataset 124/135 · fold10_P010 lstm w60 · 45m03s elapsed, ~3m59s left
[ 93%] dataset 125/135 · fold10_P010 gru w60 · 45m23s elapsed, ~3m37s left
[ 93%] dataset 126/135 · fold11_P011 lstm w60 · 45m44s elapsed, ~3m16s left
[ 94%] dataset 127/135 · fold11_P011 gru w60 · 46m06s elapsed, ~2m54s left
[ 95%] dataset 128/135 · fold12_P013 lstm w60 · 46m28s elapsed, ~2m32s left
[ 96%] dataset 129/135 · fold12_P013 gru w60 · 46m57s elapsed, ~2m11s left
[ 96%] dataset 130/135 · fold13_P014 lstm w60 · 47m20s elapsed, ~1m49s left
[ 97%] dataset 131/135 · fold13_P014 gru w60 · 47m44s elapsed, ~1m27s left
[ 98%] dataset 132/135 · fold14_P015 lstm w60 · 48m12s elapsed, ~1m05s left
[ 99%] dataset 133/135 · fold14_P015 gru w60 · 48m32s elapsed, ~43s left
[ 99%] dataset 134/135 · fold15_P016 lstm w60 · 48m55s elapsed, ~21s left
[100%] dataset 135/135 · fold15_P016 gru w60 · 49m16s elapsed, ~0s left
  evaluation: lopo (15 fold(s))
  random_forest frames: test F1(writing)=0.7797±0.1018 acc=0.7399±0.1358 (15 folds, 181.8s)
  velocity_threshold frames: test F1(writing)=0.7712±0.1137 acc=0.7149±0.1170 (15 folds, 13.3s)
  extension_threshold frames: test F1(writing)=0.7444±0.1256 acc=0.6741±0.1295 (15 folds, 14.6s)
  lstm w15/s5: test F1(writing)=0.7655±0.1210 acc=0.7154±0.1521 (15 folds, 464.0s)
  gru w15/s5: test F1(writing)=0.7644±0.1149 acc=0.7062±0.1438 (15 folds, 423.8s)
  lstm w30/s5: test F1(writing)=0.7368±0.1386 acc=0.6841±0.1531 (15 folds, 484.6s)
  gru w30/s5: test F1(writing)=0.7864±0.1103 acc=0.7264±0.1397 (15 folds, 475.6s)
  lstm w60/s10: test F1(writing)=0.7473±0.1166 acc=0.6730±0.1436 (15 folds, 295.0s)
  gru w60/s10: test F1(writing)=0.7735±0.1234 acc=0.7036±0.1486 (15 folds, 291.0s)

Report: /home/kwame/airwrite_trainer/reports/run_20260919_211002/report.md
Models + results.json in: /home/kwame/airwrite_trainer/reports/run_20260919_211002

Exporting ONNX models…
  dataset_gru_w15.keras -> dataset_gru_w15.onnx  (parity max diff 2.98e-08)
  dataset_gru_w30.keras -> dataset_gru_w30.onnx  (parity max diff 8.94e-08)
  dataset_gru_w60.keras -> dataset_gru_w60.onnx  (parity max diff 2.98e-08)
  dataset_lstm_w15.keras -> dataset_lstm_w15.onnx  (parity max diff 7.45e-08)
  dataset_lstm_w30.keras -> dataset_lstm_w30.onnx  (parity max diff 7.82e-08)
  dataset_lstm_w60.keras -> dataset_lstm_w60.onnx  (parity max diff 5.96e-08)
  dataset_random_forest.joblib -> dataset_random_forest.onnx  (parity max diff 4.59e-07)
  inference spec -> inference_spec.json (76 features, 9 model thresholds)
ONNX export: 7 converted, 0 failed
